BANT,営業で用いられるヒアリングのフレームワーク。Budjet、Authority、Needs、Timeframeの頭文字。
バッチ処理,複数の命令やタスクをまとめて一括に処理する仕組みのこと。人間が介入せずに自動的に処理を進めることができ、大量のデータ処理や定期的な作業の自動化に適している。
エンドユーザーコンピューティング(EUC),IT部門の介入を最小限に抑えながら、従業員が自身の業務に必要なITツールやアプリケーションを自ら開発・運用するアプローチ。
SFA,営業部門のメンバー行動や商談の進捗を見える化し、営業の生産工場や業務改善を実現するためのツール。
SLA,サービス品質についての同意書。稼働率保障を99.5%。サービスの稼働率が99.5%を下回ったら返金する規定がある。
SLO,SLAの目標のこと。SVF Cloudサービスレベル目標のこと。詳しくはCSサイトに記載あり。
Dynamics 365,Mycrosoftが提供するビジネスアプリケーションのプラットフォーム。CRMやERPなどの機能を統合している。
iレポーター,株式会社シムトップスが提供する電子帳票システム。弊社と提携している。タブレットを使って現場で出力が可能。
XMLファイル,データを整理して表現するためのテキストファイル。HTMLのようなマークアップ言語の1種だが、データの構造を記述するために特化している。
キンドリルジャパン,ITインフラストラクチャーの構築、運用サービスを提供する企業。
EDIとは,Electronic Data Interchange。企業間での取引において、請求書や発注書などのデータを電子的に自動的にやり取りする仕組み。
ジョブ,処理や作業の単位。バッチ処理などに使われる。
ビュー,仮想的なデータの表示。BIダッシュボードなどで使われる。
レコード,データの１件（テーブルの１行）のこと。顧客情報などに使われる。
ハンドリング,特定の状況や事象に対処する処理を指す。エラーハンドリングなど。
Jira,タスク管理やプロジェクト管理を効率化するための強力なツール。
SSO,Single Sign-Onのこと。1度の認証で複数のサービスを利用できる仕組み。
SAP S/4HANA,SAPが提供するERPの名前。HANAだけだとDBの話になる。
エクスペリエンスクラウド,Salesforceが提供するプラットフォームで、企業が顧客・パートナー・従業員向けのポータルサイトやコミュニティを簡単に構築できるサービス。
Visualforce,Salesforceが提供するUIを変えるフレームワーク。
Apex,Salesforceに機能を追加するための専用のプログラミング言語。
サービスクラウド,カスタマーサポート業務を効率化するためのクラウドベースのシステム。
コンテナ化,仮想化。ハードウェアリソースをソフトウェアリソースで仮想的に表現すること。
ARMプロセッサ,アームと読む。CPUの名前。弊社ではインテル系でしか動作サポートしていないのでARMで検証できるかわからないがたぶんできる。
汎用L1サポート,案件単位。標準サポートになる予定。
個別L1サポート,案件単位。まっとうな要求に対するサポート。
個別L5サポート,案件単位。無茶な要求に対するサポート。
ハウジング,データセンターをもつ事業者が運営するサービスの一つで、サーバや通信機器の設置場所を顧客に貸し出すサービス。
ロングポーニング,クライアントがサーバーにリクエストを送信し、サーバーが新しいデータが利用可能になるまで接続を維持する手法。
LPR,TCP/IPネットワークを通じてプリンタにデータを伝送して印刷するためのプロトコルの一つ。（要するに、ネット経由で印刷ジョブをプリンタに送信できるシステム）
PALite,帳票サーバにTCP/IPで接続されていないプリンタへ出力する場合に経由するモジュール。
ラスターファイル,ピクセルで線を表している画像。拡大すると線がガタガタになる。
ベクターファイル,数式で線を表している画像。拡大しても滑らかな曲線が描ける。
EMFファイル,高画質プリント用に大量の精細画像を保管する目的で設計されたWindowsのファイル形式。
TIF,画像ファイルの拡張子名。
RPA,人がコンピュータ上で行う定型的な事務作業を、ソフトウェアロボットが代行・自動化するシステム
PowerApps,業務用アプリを簡単に開発できるサービス。ローコード開発に特化している。
Power Automate,Microsoftが提供する業務のプロセスの自動化を実現するツール。
SVGファイル,Scalable Vector Graphics。画像フォーマットの一種でベクター形式のデータ。XMLに準拠しており、テキストエディタで編集することも可能。
ハルシネーション,事実に基づかない回答をする生成AI特有の現象。
シームレス,複数のサービスがあたかも1つのサービスのように利用できる状態
MCP,AIと外部のデータやサービスをつなぐためのプロトコル。
イントラネット,企業や組織内部でのみ利用される専用のネットワークシステム。
PoC,概念実証を意味する言葉。新規事業や新商品の開発などのプロジェクトにおいて、実現可能性を確かめるための手法。
RPA,ロボティクス・プロセス・オートメーション。業務の定型的な作業をソフトウェアロボットが自動化する技術。
証憑保管,しょうひょうほかん。取引や契約が行われたことを証明するための書類。
サムル認証（SAML認証）,異なるサービス間でユーザー認証を効率化するための標準規格。シングルサインオンを実現するために利用される。
SAP BTP,SAPが提供しているPaaS型のシステム基盤。アプリケーション開発/自動化/統合/データ管理・分析/AIといった複数の機能をSAPアプリケーション向けに最適化された単一のプラットフォーム上で提供。
閉域,特定のユーザーまたは拠点のみがアクセスできるプライベートネットワーク。
覚書,当事者間の合意内容を記録し、証拠として残しておくための文書。
元帳,もとちょう。企業が行ったすべての取引を勘定科目ごとに分類し記載した帳簿。
クラウドリフト,オンプレミス環境で稼働するシステムをそのままクラウド環境に移行すること。
Heroku,アプリケーションを簡単に開発・公開できるクラウドプラットフォーム（PaaS）
Virtual Relation,弊社用語。SVF Cloud for Salesforce用語。本来取れない特殊な設定を取る機能。
PPAP,メールでパスワード付きのZIPファイルを送り、その後別のメールでファイルを開くためのパスワードを送ること。政府が廃止の方針を発表している。
PMS,個人情報保護マネジメントシステム
OEM,Original Equipment Manufacturerの略で、製造を委託されたメーカーが自社のブランドとしてではなく相手先のブランドとして商品を作ること。
R&D,Reserch and Development。研究開発のことで製造業やIT業界で重要視されている。
同期処理,複数のタスクを実行する際に一つずつ順番にタスクが実行される方式のこと。SVF CloudではAPI接続は同期処理。
非同期処理,あるタスクを実行している最中に、その処理を止めることなく別のタスクを実行できる方式。SVF Cloudでは監視モジュールを使う場合は非同期処理。
Amazon S3,AWSクラウド上にファイルを保存するためのオブジェクトストレージサービス。様々な拡張子のファイルを置ける保存領域。bucketを作成してファイルを格納して利用する。
AWS Lambda,サーバーをプロビジョニングしたり管理しなくてもコードを実行できるコンピューティングサービス。
S3 プットトリガー,Amazon S3にファイルをPUTした際に、Lambda関数や他のAWSサービスを自動的に起動する仕組み。
パフォーマンスチューニング,システムのアプリケーションの性能を最適化し、効率的にどうさせるための手法やプロセスを指す。
REST通信,Representational State Transferの略。HTTPプロトコルを利用して、クライアントとサーバー間でデータをやり取りするための通信方式。
インテグレーションハブ,複数のシステムやアプリケーションを連携させるためのプラットフォームやツールのこと。
Sys ID,ServiceNowにおける各レコードに割り当てられる128ビットのGUID（Globally Unique Identifier）。ServiceNowのデータベース内で各レコードを一意に識別するために使用される。
ミルシート,製造業において、製品の製造過程や品質管理のために使用される文書。製品の仕様、材料、工程、検査結果などが記載されている。
JARファイル,Java ARchiveの略。Javaで作成された複数のクラスファイルや関連リソースを1つの圧縮ファイルにまとめたもの。
モックデータ,実際のデータに似せて作成されたテスト用のデータ。システム開発やテストの際に使用される。
クラサバ,クライアントサーバーモデルの略語。システムの構成要素をサービスを提供するサーバーと、サービスをリクエストするクライアントに分けて運用する形態。
起票,会計や経理、総務などの業務において書類や伝票を新たに作成・発行することを指す。
SMTPサーバ,メールの送信を担当するサーバー。Simple Mail Transfer Protocolの略。
IMAPサーバ,メールの受信を担当するサーバー。Internet Message Access Protocolの略。
POP3サーバ,メールの受信を担当するサーバー。Post Office Protocolの略。
カットオーバー,新しく開発されたシステムが稼働すること。
中継領域,お客様のシステムとTransaction Designerを中継する領域(ストレージ)。
SFTP接続,SSH File Transfer Protocolの略。SSHを利用して安全にファイル転送を行うためのプロトコル。
DevOps,ソフトウェア開発（Development）と運用（Operations）を組み合わせた言葉。開発と運用の連携を強化し、運用と開発者の対立を解消すること。
アノテーション,データに対して追加の情報や説明を付け加える作業。
プロシージャー,SVF Cloud for Salesforceの開発者向け機能。プロシージャーがSalesforceのApexクラスに呼び出されるとSalesforce REST APIを使用してレコードのデータを取得し、SVF Cloudから帳票を出力する。
NDA,Non-Disclosure Agreementの略。秘密保持契約のこと。
稟議,企業や組織内での意思決定を行うための正式な承認プロセス。
MVP,Minimum Viable Productの略。最小限の機能を持つ製品やサービスのこと。
スタンドアロン,単独で動作するシステムやアプリケーションのこと。他のシステムやネットワークに依存せずに機能する。
ヒープメモリ,動的に確保と開放を繰り返せるメモリ領域。JavaやC++などのプログラミング言語で使用される。
RFI,Request For Informationの略。情報提供依頼書のこと。事前調査の段階で活用される。発注先の候補をある程度絞り込んでおくために発行するドキュメント。
RFP,Request For Proposalの略。提案依頼書のこと。具体的な提案を求めたい企業に対して発行する。RFIでベンダーをある程度まで絞り込んだうえで発行する。
RFQ,Request For Quotationの略。見積依頼書のこと。詳細な見積もりを依頼する際に発行する。RFIやRFPでベンダーを絞り込んだうえで発行する。
V2V,Virtual to Virtualの略。仮想マシンから別の仮想マシンへデータやアプリケーションを移行するプロセス。
アドオン,既存のソフトウェアやシステムに追加される拡張機能やモジュールのこと。基本的な機能を補完したり、新しい機能を提供したりするために使用される。
ISMAP,Information System Security Management and Assessment Programの略。政府が定めたクラウドサービスのセキュリティ評価基準。弊社製品はdejiren以外が満たしている。
ISO,国際標準化機構（International Organization for Standardization）の略。様々な分野で国際的な標準を策定する組織。
ISO27001,情報セキュリティマネジメントシステム（ISMS）に関する国際規格。組織が情報セキュリティを適切に管理・運用するための枠組みを提供する。
オーバーレイ印刷,既存の帳票やドキュメントに追加の情報やグラフィック要素を重ねて印刷する技術。SVFはオーバーレイ印刷。
BPO,Business Process Outsourcingの略。企業が自社の業務プロセスの一部を外部の専門業者に委託すること。
プロキシサーバー,クライアントとサーバーの間に立ち、クライアントの要求を代理で処理するサーバー。セキュリティやキャッシュ、アクセス制御などの目的で使用される。
フェデレーション,invoiceAgent文書管理サーバーを他のinvoiceAgent文書管理サーバーに接続して、文書を共有し操作するための機能。invoiceAgentではこれを使ってオンプレからクラウドの文書を見に行くことができる。
インプリメンテーション(インプリ),システムやソフトウェアの設計・開発・導入・運用までの一連のプロセスを指す。要件定義から実装、テスト、展開、保守までを含む。
多重度,同時に処理できるジョブの数。SVF Cloudでは多重度1～5まで選択可能。
ベストエフォート,テナントを複数社で共有するクラウドサービスにおいて、各社に対して最大限のパフォーマンスを提供することを目指すが、必ずしも一定の性能を保証しないサービス提供方式。
パフォーマンスチューニング,システムやアプリケーションの性能を最適化し、効率的に動作させるための手法やプロセスを指す。
正副2部,帳票の原本と同じ内容の控えを作成すること。法的に保存義務がある場合などに利用される。
